"divergence_threshold","lambda","omega","sigma_squared_bs","sigma_squared_t","dispersal","m","n_extant_diversity","richness_lat_cor","richness_temp0mya_cor","temp_skewness","temp_kurtosis","rs_skewness","rs_kurtosis","bodysize_temp_cor","bodysize_rangesize_cor","rangesize_temp_cor","bodysize_MRDa_cor","bodysize_MRDn_cor","bodysize_MRDs_cor","bodysize_ED_cor","bodysize_ES_cor","bodysize_DR_cor","temp_MRDa_cor","temp_MRDn_cor","temp_MRDs_cor","temp_ED_cor","temp_ES_cor","temp_DR_cor","rangesize_MRDa_cor","rangesize_MRDn_cor","rangesize_MRDs_cor","rangesize_ED_cor","rangesize_ES_cor","rangesize_DR_cor","collessI","sackinI","gamma","lat_pd_cor","lat_mpd_cor","lat_mntd_cor","temp_pd_cor","temp_mpd_cor","temp_mntd_cor","richness_pd_cor","richness_mpd_cor","richness_mntd_cor","temp_bsm_cor","temp_bssd_cor","richness_bsm_cor","richness_bssd_cor","pd_bsm_cor","mpd_bsm_cor","mntd_bsm_cor"
6,3.497,0.022,0.01,0.008,2.748,"m0",3763,-0.512302781718279,0.460398850917987,-0.337748759186228,2.40419943466037,7.05456310255899,70.5792164429494,0.000126795800171952,-0.021888161792087,0.316690855361767,-0.229874750763702,-0.229874750763702,-0.229874750763702,-0.00422007453576959,-0.0013793602768296,0.00422020571883723,-0.265767123223969,-0.265767123223969,-0.265767123223969,0.261837429875512,0.220200923757478,-0.261837316303639,-0.0693491751638422,-0.0693491751638422,-0.0693491751638422,0.0851113340797865,0.0774341727220801,-0.0851112688529389,1.29411496731134,1.24469785965388,-2.84296400483271,0.314658946371366,0.0303612182428664,0.331459672233805,-0.247816567584008,0.0181654010061098,-0.268472337476646,-0.765372134282501,-0.411907402657476,-0.749912311388534,0.130293521971228,0.10296607006092,0.115585820490229,0.26998386177928,0.00332510157923806,0.226005980900478,-0.0503930127022299
8,2.743,0.029,0.006,0.012,2.119,"m0",2514,-0.442583312409188,0.387975546912648,-0.430134803330449,2.781234806459,7.06555567741441,73.6068625638476,-0.0573601537963009,-0.00409903937655176,0.375004990762036,0.11431673654391,0.11431673654391,0.11431673654391,-0.0489184451214448,-0.0473362336550312,0.0489184451214448,-0.171757719124137,-0.171757719124137,-0.171757719124137,0.243121636361928,0.219382613786661,-0.243121636361928,-0.100919902254476,-0.100919902254476,-0.100919902254476,0.125071181922516,0.122658909871888,-0.125071181922516,0.246952643598119,0.305544169946858,-3.43289537510551,0.253152792951191,0.108293733991307,0.247724227707127,-0.19630775924694,-0.092350738108539,-0.184665665339953,-0.501937716948717,-0.134043699139895,-0.49019778376269,0.0240524566193386,0.322768352931358,-0.0453788482451826,0.349951754159593,-0.263036186249533,-0.248429352442888,-0.250641293241143
4,4.251,0.016,0.015,0.004,3.376,"m0",2881,-0.6090029986046,0.598088918137671,-0.548536553209189,2.68673358995309,6.56804077126359,66.8041147593358,0.0627634741776432,-0.00758340883142441,0.174592632347311,-0.17385166760257,-0.17385166760257,-0.17385166760257,0.15621484824817,0.12418995419205,-0.15621484824817,-0.261260327152468,-0.261260327152468,-0.261260327152468,0.203065194091172,0.20152006544143,-0.203065194091172,0.0402250444641677,0.0402250444641677,0.0402250444641677,-0.094525896292263,-0.0697051569191628,0.094525896292263,1.72488135780271,1.64454944577395,3.552395644657,0.182842299323165,0.185517112871997,0.241434558635356,-0.184276951411417,-0.193026038274583,-0.243213118206777,-0.420695718172478,-0.370060586303897,-0.536140109089105,0.291162670312497,0.289599982471542,0.236680361564098,0.362839824912175,0.515713658643805,0.47954341022079,0.496721124445256
5,3.12,0.026,0.003,0.013,3.691,"m0",3259,-0.269229070141268,0.270959905261799,-0.405614929196914,2.57872553647827,6.37216373019634,56.4094597222859,-0.00999512521700051,0.0194775230831697,0.33152227756705,0.158821063420659,0.158821063420659,0.158821063420659,0.0255699393705906,0.02086704462268,-0.0255699393705906,-0.180472827426796,-0.180472827426796,-0.180472827426796,0.0962756154393133,0.0921575003859583,-0.0962756154393133,-0.0466031009845345,-0.0466031009845345,-0.0466031009845345,0.079336305817474,0.0874432706752754,-0.079336305817474,0.109245687303592,-0.125484673375243,-2.85613395837371,0.115393233766511,-0.0347771962439632,0.151458217463782,-0.0983792713903328,0.0381085240902634,-0.129764793925155,-0.662054035731421,-0.41176820856621,-0.676994553470659,-0.0532078025731977,0.0485664491702557,0.0404251518585278,0.17785222021337,-0.0522661475410029,-0.118710910902303,-0.0360561326027529
9,4.629,0.013,0.013,0.006,2.433,"m0",1720,-0.632027609229814,0.556958313566695,-0.203431495022165,2.0390924538475,5.94366993240191,62.2172992594924,-0.0491801922289348,-0.0207353048601445,0.310626754668882,-0.013671889019967,-0.013671889019967,-0.013671889019967,-0.0910185788764581,-0.071841554003698,0.0910185788764581,-0.298558044532475,-0.298558044532475,-0.298558044532475,0.517723653388263,0.423046812154712,-0.517723653388263,-0.132590367002945,-0.132590367002945,-0.132590367002945,0.181917785935568,0.147346955964227,-0.181917785935568,1.92500343788705,1.83733254950129,1.22113512447786,-0.0648952226864359,-0.204543884643034,0.097983744287604,0.140507794025889,0.246290728774353,-0.00695711255271488,-0.132884669522262,0.0608683819783469,-0.290506044445512,-0.0828664034577538,0.0819395062821588,0.310469847720459,0.372281263647199,0.0616129782747612,0.102942456510854,0.0622190954206708
7,2.365,0.019,0.008,0.003,3.062,"m0",2040,-0.690123736295597,0.714385093401502,-0.581826264004738,2.69250457526475,5.55721988374824,43.1941450427457,-0.142511373295438,-0.0680359063593734,0.238633922482136,-0.253458790824309,-0.253458790824309,-0.253458790824309,-0.011839185065694,-0.00999888349890104,0.011839185065694,0.0584710468265043,0.0584710468265043,0.0584710468265043,0.110248593976936,0.108094094819397,-0.110248593976936,0.0626709303958993,0.0626709303958993,0.0626709303958993,-0.0102593951135134,0.00612043637355832,0.0102593951135134,1.49522643372168,1.36053108558872,-5.12042591686694,0.536625831291887,0.462249417830828,0.539241110005542,-0.549844074090222,-0.479238033885585,-0.551691573407386,-0.832818653668828,-0.718959925969348,-0.834657866023808,0.317471845330253,0.34586234518721,0.457470173211516,0.383720538890678,-0.0384285200497704,0.347472835756896,-0.125629907581927
8,4.44,0.03,0.005,0.002,3.219,"m0",1321,-0.729865576880688,0.73927904930412,-0.936990036632266,2.93426981458905,7.47992864529441,97.3148274095112,-0.102135345301089,-0.0204674274772603,0.196070547031496,0.0537259189302253,0.0537259189302253,0.0537259189302253,0.0971547707557942,0.0813270063858972,-0.0971547707557942,-0.160687309808227,-0.160687309808227,-0.160687309808227,-0.112274549863525,-0.083259113023733,0.112274549863525,0.00603017196004949,0.00603017196004949,0.00603017196004949,-0.0917754586666486,-0.0540236211416699,0.0917754586666486,-1.04298160272612,-0.614466255594858,-2.22302976903882,0.628267817160055,0.610324102128419,0.628557228096736,-0.628169882319199,-0.607798003674663,-0.628231094827221,-0.870530444430778,-0.84578077166257,-0.871125918845144,-0.0747904286687588,-0.067440673524914,-0.0355630337152163,0.0595535650049225,0.37357863687983,0.50892295512719,0.286341489069417
10,2.177,0.024,0.019,0.005,2.59,"m0",922,-0.642561491043277,0.641919872554885,-0.507354873390601,2.3048418559578,4.30695776290265,27.4144227426847,-0.0181245532700164,0.0268521500664903,0.101989298252261,0.064711740326108,0.064711740326108,0.064711740326108,-0.0250688820263631,-0.0209860202515643,0.0250688820263631,-0.166780719716349,-0.166780719716349,-0.166780719716349,-0.0611782917287691,-0.0339497423755636,0.0611782917287691,-0.158152961113111,-0.158152961113111,-0.158152961113111,0.120519522274605,0.122861734902984,-0.120519522274605,0.471598878348253,0.471220284652542,-1.06711979877647,0.413384273467213,0.191501184925356,0.398362779149974,-0.392077616399154,-0.18218397785333,-0.377295775880124,-0.68790960265292,-0.440209472986532,-0.658938074478194,0.348698155849461,0.469327723657622,0.262715674384637,0.296368377387975,-0.328906288561264,-0.262773796215875,-0.327177196986441
5,3.686,0.012,0.009,0.012,3.848,"m0",2508,-0.526306622608577,0.444300024790682,-0.356950648795139,2.69189807005361,5.80397443183226,53.0975309578804,-0.0282326623516165,-0.0440813884853599,0.365702300131535,0.0549198293530821,0.0549198293530821,0.0549198293530821,0.00267390706892484,0.00416007964287559,-0.00267390706892484,-0.151646225148624,-0.151646225148624,-0.151646225148624,0.216124509357656,0.185328784370414,-0.216124509357656,-0.169660266209367,-0.169660266209367,-0.169660266209367,0.239143940806269,0.210180466659911,-0.239143940806269,2.20552110796661,2.10075264657087,1.95939145792002,0.0263192222951904,-0.229642684703252,0.18959819791319,0.0311686486505682,0.230701695925047,-0.12158808282184,-0.357791587924818,-0.036263329627017,-0.455200765724516,-0.0941985753067231,-0.0823060434834341,-0.000898529664940886,0.180982117191407,0.0289302534116209,-0.0552235721116814,0.0610011098013725
4,2.554,0.033,0.012,0.007,3.533,"m0",3411,-0.20177314969135,0.274364404626675,-0.201453706476181,2.23058375404721,6.70980450581278,63.8595175634608,0.0365022998302647,0.0192029680802664,0.257379750599439,-0.0694357620608619,-0.0694357620608619,-0.0694357620608619,0.0067875082699932,0.0109530922589902,-0.0067875082699932,-0.503288123150887,-0.503288123150887,-0.503288123150887,0.364553093647605,0.302863618042253,-0.364553093647605,-0.0760011928589058,-0.0760011928589058,-0.0760011928589058,0.0950079166789916,0.0961808838410873,-0.0950079166789916,1.69695674313487,1.49884719977163,4.94056437599113,-0.0204440536024448,-0.214436106061034,0.0270953686720742,-0.0232734311203565,0.183121174799508,-0.067447674667032,-0.686127724730484,-0.469946773119054,-0.718930082988494,0.146238855449314,-0.0226869311417006,0.210489999528593,0.240149964305917,-0.163084666685297,-0.0516860621812059,-0.182266291512645
