"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	50	0	"ROOT"
"2"	1	2	50	0	"GENETIC"
"3"	1	3	50	0	"GENETIC"
"4"	1	4	50	0	"GENETIC"
"5"	1	5	45	0	"Genetic"
"6"	5	6	37	0	"Genetic"
"7"	1	7	36	0	"Genetic"
"8"	1	8	29	0	"Genetic"
"9"	1	9	28	0	"Genetic"
"10"	6	10	27	0	"Genetic"
"11"	7	11	26	0	"Genetic"
"12"	11	12	20	0	"Genetic"
"13"	7	13	18	0	"Genetic"
"14"	8	14	18	0	"Genetic"
"15"	9	15	18	0	"Genetic"
"16"	10	16	18	0	"Genetic"
"17"	13	17	17	0	"Genetic"
"18"	15	18	17	0	"Genetic"
"19"	1	19	16	0	"Genetic"
"20"	4	20	16	0	"Genetic"
"21"	5	21	16	0	"Genetic"
"22"	6	22	16	0	"Genetic"
"23"	10	23	16	0	"Genetic"
"24"	11	24	15	0	"Genetic"
"25"	14	25	10	0	"Genetic"
"26"	8	26	9	0	"Genetic"
"27"	9	27	9	0	"Genetic"
"28"	11	28	9	0	"Genetic"
"29"	19	29	9	0	"Genetic"
"30"	21	30	9	0	"Genetic"
"31"	9	31	8	0	"Genetic"
"32"	13	32	8	0	"Genetic"
"33"	1	33	7	0	"Genetic"
"34"	5	34	7	0	"Genetic"
"35"	6	35	7	0	"Genetic"
"36"	4	36	6	0	"Genetic"
"37"	7	37	6	0	"Genetic"
"38"	10	38	6	0	"Genetic"
"39"	13	39	6	0	"Genetic"
"40"	20	40	6	0	"Genetic"
"41"	22	41	6	0	"Genetic"
"42"	23	42	6	0	"Genetic"
"43"	24	43	5	0	"Genetic"
"44"	19	44	3	0	"Genetic"
"45"	11	45	2	0	"Genetic"
"46"	28	46	2	0	"Genetic"
"47"	27	47	1	0	"Genetic"
"48"	22	48	0	0	"Genetic"
"49"	43	49	0	0	"Genetic"
