"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"167"	95	167	7	0	"Genetic"
"168"	110	168	7	0	"Genetic"
"169"	110	169	7	1	"Genetic"
"170"	2	170	6	1	"Genetic"
"171"	2	171	6	1	"Genetic"
"172"	3	172	6	0	"Genetic"
"173"	7	173	6	0	"Genetic"
"174"	7	174	6	1	"Genetic"
"175"	8	175	6	0	"Genetic"
"176"	8	176	6	0	"Genetic"
"177"	8	177	6	0	"Genetic"
"178"	11	178	6	0	"Genetic"
"179"	11	179	6	0	"Genetic"
"180"	11	180	6	0	"Genetic"
"181"	11	181	6	0	"Genetic"
"182"	14	182	6	0	"Genetic"
"183"	14	183	6	0	"Genetic"
"184"	16	184	6	0	"Genetic"
"185"	19	185	6	0	"Genetic"
"186"	19	186	6	0	"Genetic"
"187"	19	187	6	0	"Genetic"
"188"	23	188	6	1	"Genetic"
"189"	31	189	6	0	"Genetic"
"190"	32	190	6	0	"Genetic"
"191"	32	191	6	0	"Genetic"
"192"	32	192	6	0	"Genetic"
"193"	38	193	6	0	"Genetic"
"194"	38	194	6	0	"Genetic"
"195"	40	195	6	0	"Genetic"
"196"	45	196	6	0	"Genetic"
"197"	46	197	6	1	"Genetic"
"198"	46	198	6	1	"Genetic"
"199"	49	199	6	0	"Genetic"
"200"	49	200	6	0	"Genetic"
"201"	58	201	6	0	"Genetic"
"202"	59	202	6	0	"Genetic"
"203"	62	203	6	1	"Genetic"
"204"	70	204	6	0	"Genetic"
"205"	73	205	6	0	"Genetic"
"206"	80	206	6	0	"Genetic"
"207"	85	207	6	0	"Genetic"
"208"	87	208	6	1	"Genetic"
"209"	88	209	6	0	"Genetic"
"210"	97	210	6	0	"Genetic"
"211"	100	211	6	0	"Genetic"
"212"	101	212	6	0	"Genetic"
"213"	101	213	6	0	"Genetic"
"214"	101	214	6	1	"Genetic"
"215"	106	215	6	1	"Genetic"
"216"	153	216	6	1	"Genetic"
"217"	166	217	6	0	"Genetic"
"218"	166	218	6	0	"Genetic"
"219"	166	219	6	0	"Genetic"
"220"	1	220	5	5	"Genetic"
"221"	2	221	5	0	"Genetic"
"222"	2	222	5	0	"Genetic"
"223"	3	223	5	0	"Genetic"
"224"	3	224	5	0	"Genetic"
"225"	6	225	5	1	"Genetic"
"226"	6	226	5	0	"Genetic"
"227"	6	227	5	0	"Genetic"
"228"	7	228	5	0	"Genetic"
"229"	9	229	5	0	"Genetic"
"230"	9	230	5	0	"Genetic"
"231"	10	231	5	0	"Genetic"
"232"	10	232	5	0	"Genetic"
"233"	10	233	5	0	"Genetic"
"234"	10	234	5	0	"Genetic"
"235"	11	235	5	0	"Genetic"
"236"	11	236	5	0	"Genetic"
"237"	11	237	5	0	"Genetic"
"238"	15	238	5	1	"Genetic"
"239"	17	239	5	0	"Genetic"
"240"	19	240	5	1	"Genetic"
"241"	24	241	5	1	"Genetic"
"242"	24	242	5	1	"Genetic"
"243"	24	243	5	0	"Genetic"
"244"	24	244	5	1	"Genetic"
"245"	26	245	5	0	"Genetic"
"246"	33	246	5	1	"Genetic"
"247"	45	247	5	0	"Genetic"
"248"	46	248	5	1	"Genetic"
"249"	50	249	5	0	"Genetic"
"250"	50	250	5	0	"Genetic"
"251"	50	251	5	0	"Genetic"
"252"	51	252	5	0	"Genetic"
"253"	51	253	5	0	"Genetic"
"254"	64	254	5	1	"Genetic"
"255"	68	255	5	0	"Genetic"
"256"	70	256	5	0	"Genetic"
"257"	71	257	5	0	"Genetic"
"258"	71	258	5	0	"Genetic"
"259"	77	259	5	0	"Genetic"
"260"	77	260	5	0	"Genetic"
"261"	85	261	5	0	"Genetic"
